name,wrl1,category1,gender1,nation,age,weight,weight_mt,height,height_cur,cur_ref
Baasankhuu BAVUUDORJ,#2,-48,W,Mongolia,24,48,53.4,148,153,https://www.ocagames.com/HZ_Info/AG2022-/en/results/judo/athlete-profile-n2016792-bavuudorj-baasankhuu.htm
Maria ESCANO,#103,-57,W,Guam,22,56.8,,150,,
Tornike TSJAKADOEA,#21,-60,M,Netherlands,27,59.9,66.6,150,164,https://olympics.com/en/paris-2024/athlete/tornike-tsjakadoea_1966764
Marit KAMPS,#16,78,W,Netherlands,23,102.5,,150,175,https://olympics.com/en/paris-2024/athlete/marit-kamps_1966747
Juan POSTIGOS,#47,-66,M,Peru,35,65.6,,150,160,https://78884ca60822a34fb0e6-082b8fd5551e97bc65e327988b444396.ssl.cf3.rackcdn.com/up/2021/12/Rio_Olympic_Games_Judo_Results-1639651592.pdf
Geronay WHITEBOOI,#39,-48,W,South Africa,28,47.7,,150,152,https://www.teamsa.co.za/wp-content/uploads/TeamSA-Tokyo-2020-Olympic-Handbook.pdf
Diyora KELDIYOROVA,#1,-52,W,Uzbekistan,26,51.7,53.3,150,158,https://www.ocagames.com/HZ_Info/AG2022-/en/results/judo/athlete-profile-n2011977-keldiyorova-diyora.htm
Ryuju NAGAYAMA,#6,-60,M,Japan,28,59.7,64,151,156,https://ja.wikipedia.org/wiki/%E6%B0%B8%E5%B1%B1%E7%AB%9C%E6%A8%B9
Jacqueline SOLIS,#63,-48,W,Guatemala,35,47.7,,152,,
Gabriela NARVAEZ,#60,-48,W,Paraguay,29,47.8,,152,,
Natasha FERREIRA,#26,-48,W,Brazil,25,48,,153,152,https://admin.cob.org.br/uploads/CO_Bmedia_guide_mobile_2024_V3_89fd5895d0.pdf
Mary Dee VARGAS LEY,#21,-48,W,Chile,27,47.9,,153,154,https://tokio2020.rtve.es/es/resultados/judo/perfil-de-deportista-n1309833-vargas-ley-mary-dee.htm
Katharina MENZ,#25,-48,W,Germany,33,47.9,52.1,153,153,https://olympics.com/en/paris-2024/athlete/katharina-menz_1563084
Ka Lee WONG,#57,-48,W,"Hong Kong, China",26,47.9,,153,162,https://olympics.com/en/paris-2024/athlete/ka-lee-wong_1962123
Reka PUPP,#6,-52,W,Hungary,28,51.7,53.8,153,,
Catarina COSTA,#7,-48,W,Portugal,27,47.8,,153,154,https://comiteolimpicoportugal.pt/noticias/detalhe-da-noticia/?id=NEW-e0026952-5c75-4ba9-8f7d-f6eaa1656cae
Tara BABULFATH,#18,-48,W,Sweden,18,47.7,,153,154,https://olympics.com/en/paris-2024/athlete/tara-babulfath_1571911
Katharina TANZER,#40,-48,W,Austria,28,47.8,51.2,154,154,https://www.judoaustria.at/judoka/?q=Tanzer&judokaId=22271
Gultaj MAMMADALIYEVA,#23,-52,W,Azerbaijan,24,51.9,,154,,
Larissa PIMENTA,#10,-52,W,Brazil,25,51.8,56.7,154,157,https://admin.cob.org.br/uploads/CO_Bmedia_guide_mobile_2024_V3_89fd5895d0.pdf
Ange Ciella NIRAGIRA,#48,-78,W,Burundi,21,75.9,,154,,
Szofi OZBAS,#13,-63,W,Hungary,22,62.9,68.1,154,163,https://78884ca60822a34fb0e6-082b8fd5551e97bc65e327988b444396.ssl.cf3.rackcdn.com/up/2021/12/Buenos_Aires_Youth_Olympic_Gam-1639650923.pdf
Daniyar SHAMSHAYEV,#19,-73,M,Kazakhstan,22,72.9,76.1,154,175,https://www.ocagames.com/HZ_Info/AG2022-/en/results/judo/athlete-profile-n2020193-shamshayev-daniyar.htm
Distria KRASNIQI,#2,-52,W,Kosovo,28,51.7,,154,155,https://gdm2022-pdf.microplustimingservices.com/JUD/ResultBook/GDM2022_JUD_v1.5.pdf
Hyekyeong LEE,#10,-48,W,Republic of Korea,28,47.9,52.4,154,155,https://78884ca60822a34fb0e6-082b8fd5551e97bc65e327988b444396.ssl.cf3.rackcdn.com/up/2021/12/Nanjing_Youth_Olympic_Games_Ju-1639651583.pdf
Chen-Hao LIN,#35,-48,W,Chinese Taipei,26,47.6,,155,155,https://www.ocagames.com/HZ_Info/AG2022-/en/results/judo/athlete-profile-n2006153-lin-chen-hao.htm
Abdelrahman ABDELGHANY,#40,-81,M,Egypt,25,80.8,,155,170,https://www.adh.de/fileadmin/user_upload/pdf/wettkampf/ergebnisse-international/WUG_Universiade_Sommer/2019/Judo_Universiade_2019_Ergbenisse.pdf
Katryna ESPOSITO,#55,-48,W,Malta,23,47.7,,155,162,https://olympics.com/en/paris-2024/athlete/katryna-esposito_1903711
Soumiya IRAOUI,#15,-52,W,Morocco,28,51.9,,155,160,https://gdm2022-pdf.microplustimingservices.com/JUD/ResultBook/GDM2022_JUD_v1.5.pdf
Jacira FERREIRA,#72,-52,W,Mozambique,26,51.9,,155,170,https://b2022-pdf.microplustimingservices.com/JUD/2022-07-30/JUDW52KG--------------------------__C32C_1.0.pdf
Manita SHRESTHA PRADHAN,#111,-57,W,Nepal,25,56.8,,155,160,https://olympics.com/en/paris-2024/athlete/manita-shrestha-pradhan_1980008
Kristine JIMENEZ,#46,-57,W,Panama,28,56.8,,155,158,https://olympics.com/en/paris-2024/athlete/kristine-jimenez_1965704
Muna DAHOUK,#157,-57,W,Refugee Olympic Team,28,56.3,59.3,155,,
Mohammad RASHNONEZHAD,#95,-60,M,Refugee Olympic Team,28,65.9,68.9,155,,
Laura MARTINEZ ABELENDA,#13,-48,W,Spain,25,47.9,52.8,155,,
Leyla ALIYEVA,#22,-48,W,Azerbaijan,26,47.8,,156,164,https://78884ca60822a34fb0e6-082b8fd5551e97bc65e327988b444396.ssl.cf3.rackcdn.com/up/2021/12/Nanjing_Youth_Olympic_Games_Ju-1639651583.pdf
Michel AUGUSTO,#25,-60,M,Brazil,19,59.8,,156,162,https://admin.cob.org.br/uploads/CO_Bmedia_guide_mobile_2024_V3_89fd5895d0.pdf
Zeddy CHEROTICH,#74,-78,W,Kenya,34,77.9,,157,,
Yerin JUNG,#21,-52,W,Republic of Korea,28,52,56.7,157,171,https://www.ocagames.com/HZ_Info/AG2022-/en/results/judo/athlete-profile-n2014371-jung-yerin.htm
Robert FLORENTINO,#30,-90,M,Dominican Republic,27,90,,158,182,https://olympics.com/en/paris-2024/athlete/robert-florentino_1929963
Uta ABE,#9,-52,W,Japan,24,51.9,55,158,158,https://ja.wikipedia.org/wiki/%E9%98%BF%E9%83%A8%E8%A9%A9
Nera TIEBWA,#258,-57,W,Kiribati,,56,,158,,
Paulina MARTINEZ,#31,-52,W,Mexico,25,51.8,,158,,
Yeqing ZHU,#14,-52,W,People's Rep. of China,26,51.6,,158,158,https://www.ocagames.com/HZ_Info/AG2022-/en/results/judo/athlete-profile-n2007722-zhu-yeqing.htm
Marusa STANGAR,#19,-48,W,Slovenia,26,47.8,,158,159,https://olympics.com/en/paris-2024/athlete/marusa-stangar_1981195
Ariane TORO SOLER,#12,-52,W,Spain,21,51.8,54.6,158,,
Maria Celia LABORDE,#11,-48,W,United States of America,33,47.4,,158,,
Thi Tinh HOANG,#86,-48,W,Vietnam,30,47.6,,158,150,https://www.ocagames.com/HZ_Info/AG2022-/en/results/judo/athlete-profile-n2029069-hoang-thi-tinh.htm
Sofia FIORA,#38,-52,W,Argentina,28,51.6,,160,,
Jorre VERSTRAETEN,#19,-60,M,Belgium,26,59.8,,160,163,https://www.eurosport.com/olympics/athletes/profile/verstraeten-jorre-1903247/
Kelly DEGUCHI,#34,-52,W,Canada,25,51.7,57,160,164,https://olympics.com/en/paris-2024/athlete/kelly-deguchi_1955533
Christa DEGUCHI,#1,-57,W,Canada,28,56.7,59.2,160,161,https://olympics.com/en/paris-2024/athlete/christa-deguchi_1955526
Erika LASSO,#36,-48,W,Colombia,25,47.7,,160,,
Sofia ASVESTA,#28,-52,W,Cyprus,24,51.8,,160,,
Song Hui MUN,#37,-70,W,Dem. Peop. Rep. of Korea,22,69.4,,160,170,https://www.ocagames.com/HZ_Info/AG2022-/zh/results/judo/athlete-profile-n2018038-mun-songhui.htm
Jairo MORENO,#79,-60,M,El Salvador,22,59.7,,160,,
Virginia AYMARD,#47,-48,W,Gabon,29,47.6,,160,,
Chelsie GILES,#5,-52,W,Great Britain,27,51.6,,160,,
Shira RISHONY,#24,-48,W,Israel,33,48,52.9,160,150,https://www.olympedia.org/athletes/130614
Gefen PRIMO,#7,-52,W,Israel,24,51.8,54.7,160,,
Yam WOLCZAK,#27,-60,M,Israel,21,59.7,68.6,160,,
Gili SHARIR,#9,-63,W,Israel,24,62.9,68.3,160,,
Maya GOSHEN,#23,-70,W,Israel,24,69.1,69.4,160,,
Assunta SCUTTO,#1,-48,W,Italy,22,47.8,51.9,160,160,https://parigi2024.coni.it/it/italia-team/gli-azzurri/scheda_atleta/2456:ASSUNTA_SCUTTO.html
Odette GIUFFRIDA,#3,-52,W,Italy,29,51.9,55.4,160,160,https://parigi2024.coni.it/it/italia-team/gli-azzurri/scheda_atleta/666:ODETTE__GIUFFRIDA.html
Andrea CARLINO,#32,-60,M,Italy,27,59.8,68.4,160,160,https://parigi2024.coni.it/it/italia-team/gli-azzurri/scheda_atleta/2586:ANDREA_CARLINO.html
Ashley MCKENZIE,#57,-60,M,Jamaica,35,59.8,,160,165,https://b2022-pdf.microplustimingservices.com/JUD/2022-07-30/JUDM60KG--------------------------__C32C_1.0.pdf
