name,wrl1,category1,gender1,nation,age,weight,weight_mt,height,height_cur,cur_ref
Veronica TONIOLO,#12,-57,W,Italy,21,56.8,59.6,165,165,https://parigi2024.coni.it/it/italia-team/gli-azzurri/scheda_atleta/2457:VERONICA_TONIOLO.html
Savita RUSSO,#39,-63,W,Italy,19,62.3,66.8,165,163,https://parigi2024.coni.it/it/italia-team/gli-azzurri/scheda_atleta/2538:SAVITA_RUSSO.html
Gennaro PIRELLI,#17,-100,M,Italy,23,99.9,107.3,165,180,https://parigi2024.coni.it/it/italia-team/gli-azzurri/scheda_atleta/2318:GENNARO_PIRELLI.html
Asya TAVANO,#9,78,W,Italy,22,116.6,,165,165,https://parigi2024.coni.it/it/italia-team/gli-azzurri/scheda_atleta/2170:ASYA_TAVANO.html
Abiba ABUZHAKYNOVA,#3,-48,W,Kazakhstan,27,47.9,51,165,158,https://www.ocagames.com/HZ_Info/AG2022-/en/results/judo/athlete-profile-n2020758-abuzhakynova-abiba.htm
Gusman KYRGYZBAYEV,#26,-66,M,Kazakhstan,31,65.8,68.9,165,165,https://www.ocagames.com/HZ_Info/AG2022-/en/results/judo/athlete-profile-n2020200-kyrgyzbayev-gusman.htm
Aina Laura RASOANAIVO RAZAFY,#38,-70,W,Madagascar,20,67.9,,165,,
Ariunbold ENKHTAIVAN,#13,-60,M,Mongolia,28,59.8,63.6,165,165,https://www.ocagames.com/HZ_Info/AG2022-/en/results/judo/athlete-profile-n2017053-enkhtaivan-ariunbold.htm
Hayun KIM,#4,78,W,Republic of Korea,24,112.1,,165,178,https://ko.wikipedia.org/wiki/%EA%B9%80%ED%95%98%EC%9C%A4_(%EC%9C%A0%EB%8F%84_%EC%84%A0%EC%88%98)
Adil OSMANOV,#13,-73,M,Republic of Moldova,24,72.7,,165,,
Andreja LESKI,#7,-63,W,Slovenia,27,62.9,,165,,
Salih YILDIZ,#10,-60,M,Turkiye,23,59.8,68.7,165,170,https://olympics.com/en/paris-2024/athlete/salih-yildiz_1569960
Ibrahim TATAROGLU,#23,100,M,Turkiye,18,160,,165,195,https://olympics.com/en/paris-2024/athlete/ibrahim-tataroglu_1570012
Bogdan IADOV,#15,-66,M,Ukraine,27,65.9,,165,170,https://78884ca60822a34fb0e6-082b8fd5551e97bc65e327988b444396.ssl.cf3.rackcdn.com/up/2021/12/Nanjing_Youth_Olympic_Games_Ju-1639651583.pdf
